price,param1,param2,userScore,criticScore,status
190.0,1.0,1.300809682192039e-08,7.3,88.0,0.0
18.0,0.9999412298202515,0.0005735158920288086,8.7,88.0,0.0
36.0,0.9997983574867249,0.003730177879333496,8.4,88.0,0.0
21.0,0.9911025166511536,0.08256390690803528,5.0,88.0,0.0
90.0,0.9999938011169434,0.0002586245536804199,7.2,88.0,0.0
48.0,0.9999948740005493,1.6955793853412615e-06,8.0,88.0,0.0
50.0,1.0,2.028390781561029e-06,7.4,88.0,0.0
64.0,0.9982112646102905,0.0007888972759246826,8.1,88.0,0.0
37.0,0.9954646825790405,0.029203414916992188,8.9,88.0,0.0
199.0,1.0,2.0966810510003597e-09,7.0,88.0,0.0
203.0,0.9999915361404419,3.4699507978075417e-06,6.8,88.0,0.0
32.0,0.9999970197677612,7.205476322269533e-07,8.3,88.0,0.0
138.0,0.9999918937683105,1.891111764962261e-06,7.8,88.0,0.0
199.0,0.9998200535774231,9.047376806847751e-05,8.0,88.0,0.0
78.0,1.0,1.5937091056572594e-12,7.6,88.0,0.0
68.0,0.9999842643737793,0.00021016597747802734,8.2,88.0,0.0
68.0,0.9999786615371704,1.467076344852103e-05,7.6,88.0,0.0
68.0,0.999994158744812,0.00027430057525634766,8.7,88.0,0.0
68.0,0.9999844431877136,1.9528249595168745e-06,8.5,88.0,0.0
18.0,0.9994754195213318,0.00019404292106628418,7.7,87.0,0.0
99.0,0.9999997019767761,6.71257041062745e-08,8.5,87.0,0.0
48.0,0.999923586845398,0.002440333366394043,8.2,87.0,0.0
68.0,0.9997908473014832,0.004979759454727173,7.6,87.0,0.0
48.0,1.0,6.431655652505697e-09,7.8,87.0,0.0
70.0,0.9999969005584717,1.6535393569938606e-06,8.2,87.0,0.0
48.0,0.9999987483024597,3.646694494818803e-06,7.9,87.0,0.0
36.0,0.9999530911445618,0.00030872225761413574,8.8,87.0,0.0
116.0,1.0,1.6502634025528096e-05,7.4,87.0,0.0
68.0,0.9999834299087524,0.00021412968635559082,8.5,87.0,0.0
112.0,0.999998927116394,7.957880825415486e-07,8.7,87.0,0.0
78.0,0.9999552965164185,6.2607550717075355e-06,6.9,87.0,0.0
268.0,0.9999967813491821,1.2811519809474703e-06,7.9,87.0,0.0
39.0,0.9999534487724304,1.974277984118089e-05,8.9,87.0,0.0
69.0,0.999899685382843,0.0018710792064666748,7.6,87.0,0.0
69.0,0.9999743700027466,0.00018802285194396973,8.1,87.0,0.0
48.0,0.9999991655349731,0.00010325021867174655,8.5,86.0,0.0
48.0,0.9995129108428955,0.0003097355365753174,5.4,86.0,0.0
45.0,0.9981794953346252,0.00041937828063964844,8.3,86.0,0.0
28.0,0.999907910823822,0.002313077449798584,8.6,86.0,0.0
36.0,0.999485969543457,0.00032839179039001465,8.5,86.0,0.0
70.0,0.9999607801437378,0.0008341670036315918,7.4,86.0,0.0
21.0,0.999835729598999,0.0017649531364440918,7.6,86.0,0.0
160.0,1.0,1.0664573224516971e-08,7.9,86.0,0.0
268.0,0.9999911785125732,1.7050947462848853e-06,7.4,86.0,0.0
90.0,0.9999969005584717,4.9167741963174194e-05,7.2,86.0,0.0
34.0,0.9993820190429688,0.00017651915550231934,7.4,86.0,0.0
298.0,0.9999987483024597,2.4083360017357336e-07,7.7,86.0,0.0
125.0,0.9999991655349731,2.6101684852619655e-05,8.5,86.0,0.0
138.0,0.9998998045921326,2.4789056624285877e-05,6.3,86.0,0.0
48.0,0.9999052286148071,0.0021829307079315186,8.3,86.0,0.0
80.0,0.9999876022338867,0.0006880462169647217,7.9,86.0,0.0
116.0,0.9995312690734863,0.0057877302169799805,5.8,86.0,0.0
37.0,0.9999909400939941,2.147447958122939e-06,6.2,86.0,0.0
129.0,0.999998927116394,1.5560422639282478e-07,7.1,86.0,0.0
28.0,0.9997837543487549,0.0009065866470336914,7.8,86.0,0.0
100.0,0.9999996423721313,9.243252918622602e-08,8.2,86.0,0.0
199.0,0.9999998807907104,7.815792457677162e-08,6.8,86.0,0.0
50.0,0.9999996423721313,5.2937917644158006e-05,7.7,86.0,0.0
36.0,0.9996840357780457,0.005681663751602173,8.4,86.0,0.0
0.0,0.9998875260353088,6.144127837615088e-05,8.0,86.0,0.0
259.0,1.0,8.591466205132292e-09,8.2,86.0,0.0
21.0,0.999995231628418,4.42440650658682e-05,7.4,86.0,0.0
39.0,0.999944806098938,1.233162129210541e-05,8.7,86.0,0.0
98.0,0.9959231615066528,0.00406336784362793,8.2,86.0,0.0
98.0,0.999941349029541,9.352852430311032e-06,4.7,86.0,0.0
68.0,0.9998888969421387,0.0030600428581237793,7.3,86.0,0.0
80.0,0.9999722242355347,1.1764637747546658e-05,8.2,86.0,0.0
28.0,0.9996899962425232,0.0009544193744659424,7.5,86.0,0.0
48.0,0.997846245765686,0.015675991773605347,8.7,86.0,0.0
188.0,0.9999997019767761,1.4657365454695537e-07,8.4,86.0,0.0
68.0,0.9999897480010986,0.0003641843795776367,8.1,86.0,0.0
48.0,0.9999823570251465,0.00014284253120422363,7.4,86.0,0.0
48.0,0.9999649524688721,6.297396794252563e-06,7.9,86.0,0.0
298.0,0.9992600679397583,0.00033980607986450195,7.2,86.0,0.0
70.0,1.0,1.1914472963781009e-08,8.5,86.0,0.0
138.0,0.9999997615814209,6.086283974582329e-06,7.7,86.0,0.0
80.0,0.9999954700469971,1.4296038898464758e-05,8.1,85.0,0.0
